Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Tests,Population,continent,day
China,185035,2742,4641,3,151407,1637,28987,71,160000000,1439323776,Asia,18-04-2022
USA,82383494,26881,1015821,109,80244093,41383,1123580,1438,996639125,334485290,North America,18-04-2022
India,43045527,1247,521996,31,42511701,928,11830,698,832104846,1404347026,Asia,18-04-2022
Brazil,30261088,8470,662076,65,29262483,35432,336529,8318,63776166,215270453,South America,18-04-2022
France,27790834,19810,144205,48,25132351,217445,2514278,1541,260504402,65532665,Europe,18-04-2022
Germany,23457596,19303,133437,8,20085800,205500,3238359,1980,122332384,84264628,Europe,18-04-2022
UK,21845098,18846,171781,97,20306336,109212,1366981,355,512140269,68525857,Europe,18-04-2022
Russia,18084151,9434,373713,213,17390465,14324,319973,2300,273400000,146046737,Europe,18-04-2022
S. Korea,16353495,47743,21224,132,627278,0,15704993,850,15804065,51348351,Asia,18-04-2022
Italy,15730788,18492,161766,79,14352067,27704,1216955,411,209276026,60302314,Europe,18-04-2022
Turkey,14999479,4542,98587,19,14763876,15624,137016,975,157348707,85967295,Asia,18-04-2022
Spain,11726222,10668,103656,65,11206990,14381,415576,368,471036328,46787271,Europe,18-04-2022
Vietnam,10475819,12012,42957,13,8941064,4218,1491798,1008,85703689,98909959,Asia,18-04-2022
Argentina,9060923,0,128344,0,8895999,0,36580,412,35716069,45939873,South America,18-04-2022
Netherlands,8023984,2075,22163,7,7412962,54216,588859,113,21107399,17202898,Europe,18-04-2022
Japan,7374251,39899,29023,31,6829906,44328,515322,222,45700624,125781818,Asia,18-04-2022
Iran,7208968,2009,140854,25,6948946,3102,119168,1307,50079995,85921663,Asia,18-04-2022
Colombia,6089791,129,139751,2,5923287,220,26753,342,34265772,51855927,South America,18-04-2022
Indonesia,6040432,559,155903,37,5833560,7831,50969,2771,94216598,278712873,Asia,18-04-2022
Poland,5985514,263,115838,0,5334099,8,535577,268,35948483,37772240,Europe,18-04-2022
Mexico,5727668,1000,323944,6,5028436,683,375288,4798,15714867,131363136,North America,18-04-2022
Australia,5419380,34270,6786,9,5017584,48476,395010,138,68335670,26030697,Australia/Oceania,18-04-2022
Ukraine,4993164,304,108256,3,968880,0,3916028,177,19521252,43262405,Europe,18-04-2022
Malaysia,4396165,7140,35437,16,4264127,14423,96601,110,57994524,33109959,Asia,18-04-2022
Austria,4059444,6227,16431,11,3918429,14139,124584,154,180657934,9098602,Europe,18-04-2022
Thailand,4046953,16994,27009,124,3814433,25910,205511,1496,17270775,70114236,Asia,18-04-2022
Israel,4036684,4923,10647,17,3941841,0,84196,220,41373364,9326000,Asia,18-04-2022
Belgium,3972963,0,31165,0,3664894,12275,276904,181,33313880,11680124,Europe,18-04-2022
Czechia,3882412,751,40001,7,3817842,4521,24569,47,55024950,10744628,Europe,18-04-2022
South Africa,3742107,877,100181,34,3627969,375,13957,175,24198159,60650219,Africa,18-04-2022
Portugal,3719485,0,21993,0,968880,0,2728612,61,40748372,10143368,Europe,18-04-2022
Philippines,3683209,168,59976,7,3603312,1277,19921,289,29286749,112197634,Asia,18-04-2022
Canada,3637710,5392,38319,8,3378726,5182,220665,407,60149136,38335885,North America,18-04-2022
Switzerland,3578130,1783,13811,0,3253709,26917,310610,103,20548491,8768183,Europe,18-04-2022
Peru,3556384,645,212654,24,852606,0,2491124,371,29447514,33795829,South America,18-04-2022
Chile,3531529,1271,57270,7,3325243,13150,149016,346,36471164,19410616,South America,18-04-2022
Greece,3242037,3868,28652,64,3098268,12214,115117,307,77990894,10331716,Europe,18-04-2022
Denmark,2950549,1142,6008,11,2913431,0,31110,16,127063375,5828800,Europe,18-04-2022
Romania,2882590,686,65347,4,2606660,0,210583,235,22487809,19007469,Europe,18-04-2022
Sweden,2495996,0,18572,0,2458422,1329,19002,24,18471631,10212255,Europe,18-04-2022
Iraq,2323284,152,25198,0,2293427,624,4659,36,18429771,41841178,Asia,18-04-2022
Serbia,1996868,882,15933,6,1960640,1911,20295,20,9383655,8674230,Europe,18-04-2022
Bangladesh,1952362,36,29126,2,1891197,355,32039,1283,13930855,167633174,Asia,18-04-2022
Hungary,1879480,0,45865,0,1748707,0,84908,50,11244573,9616342,Europe,18-04-2022
Slovakia,1765258,1263,19759,18,1707211,1445,38288,109,7020304,5464387,Europe,18-04-2022
Jordan,1694216,0,14048,0,1678941,0,1227,124,16670254,10384866,Asia,18-04-2022
Georgia,1653118,74,16793,1,1634313,357,2012,0,16706619,3975429,Asia,18-04-2022
Pakistan,1527326,78,30364,1,1493662,56,3300,209,27926021,228585333,Asia,18-04-2022
Ireland,1504790,1668,6932,0,1374154,4787,123704,48,11971043,5036743,Europe,18-04-2022
Norway,1420033,304,2783,0,968880,0,448370,20,11002430,5497300,Europe,18-04-2022
Kazakhstan,1305396,9,13660,0,1290880,72,856,24,11575012,19179649,Asia,18-04-2022
Hong Kong,1198438,613,9159,20,627278,0,562001,115,44972952,7606111,Asia,18-04-2022
Morocco,1164411,30,16064,1,1147740,66,607,293,11237010,37695462,Africa,18-04-2022
Singapore,1162780,2480,1316,0,1097300,3396,64164,9,23611604,5932896,Asia,18-04-2022
Bulgaria,1150342,895,36810,26,952493,3290,161039,112,9760647,6854612,Europe,18-04-2022
Croatia,1113547,30,15742,7,1093859,822,3946,23,4743521,4059850,Europe,18-04-2022
Cuba,1100073,337,8521,1,1089838,433,1714,23,12920253,11314212,North America,18-04-2022
Lebanon,1095685,72,10363,3,1076531,0,8791,186,4795578,6770609,Asia,18-04-2022
Lithuania,1049801,418,9024,4,1007222,1387,33555,44,8183615,2654163,Europe,18-04-2022
Tunisia,1038668,0,28509,0,46401,0,963758,29,4547755,12040494,Africa,18-04-2022
Slovenia,997791,393,6560,3,968880,806,22351,30,2634315,2079451,Europe,18-04-2022
Nepal,978674,9,11951,0,966373,34,350,0,5600115,30076806,Asia,18-04-2022
Belarus,974714,236,6903,2,928536,0,39275,0,13041946,9443746,Europe,18-04-2022
Finland,949583,0,3517,0,46000,0,900066,29,10591416,5556164,Europe,18-04-2022
Bolivia,903908,20,21903,0,852606,390,29399,220,2688875,11958676,South America,18-04-2022
Uruguay,895775,0,7197,0,886654,0,1924,18,6091188,3495331,South America,18-04-2022
UAE,895663,198,2302,0,877648,370,15713,0,152710641,10104790,Asia,18-04-2022
Ecuador,866925,41,35528,0,852606,0,0,759,2470170,18123652,South America,18-04-2022
Costa Rica,847784,787,8383,5,829515,643,9886,44,4240743,5177579,North America,18-04-2022
Guatemala,837608,50,17434,4,817392,259,2782,5,4357102,18510001,North America,18-04-2022
New Zealand,831149,6282,564,10,774408,7627,56177,0,6971077,5002100,Australia/Oceania,18-04-2022
Latvia,813243,67,5715,0,797254,348,10274,11,7128115,1848793,Europe,18-04-2022
Azerbaijan,792365,3,9706,0,782533,17,126,0,6771851,10303147,Asia,18-04-2022
Panama,768978,184,8179,0,758497,277,2302,9,5793689,4436610,North America,18-04-2022
Saudi Arabia,752705,133,9069,0,739296,259,4340,56,41759263,35786463,Asia,18-04-2022
Sri Lanka,662912,85,16496,1,642556,3,3860,0,6477329,21574344,Asia,18-04-2022
Paraguay,648446,0,18781,0,624673,0,4992,3,2615453,7289722,South America,18-04-2022
Kuwait,630888,0,2555,0,627278,0,1055,4,7976136,4383870,Asia,18-04-2022
Myanmar,612602,37,19434,0,591373,26,1795,0,7838552,55064259,Asia,18-04-2022
Palestine,581816,138,5353,1,575899,286,564,17,3078533,5314081,Asia,18-04-2022
Dominican Republic,578789,56,4375,0,574244,4,170,16,3255822,11043085,North America,18-04-2022
Estonia,567644,181,2522,6,502253,324,62869,4,3295012,1328136,Europe,18-04-2022
Bahrain,563584,401,1474,0,558446,490,3664,4,9679913,1807596,Asia,18-04-2022
Venezuela,522049,7,5702,1,514911,139,1436,230,3359014,28291388,South America,18-04-2022
Moldova,516444,13,11482,1,503413,122,1549,27,3204755,4017142,Europe,18-04-2022
Egypt,515645,0,24613,0,442182,0,48850,122,3693367,105796348,Africa,18-04-2022
Libya,501862,0,6429,0,490900,0,4533,101,2476960,7038917,Africa,18-04-2022
Ethiopia,470288,15,7509,0,453646,10,9133,21,4739492,120070011,Africa,18-04-2022
Mongolia,469365,12,2177,0,313256,0,153932,192,4030048,3372992,Asia,18-04-2022
Cyprus,464366,0,993,0,124370,0,339003,60,9477138,1223129,Asia,18-04-2022
Armenia,422770,8,8622,1,410458,10,3690,0,3017543,2973180,Asia,18-04-2022
Honduras,421659,391,10891,3,131100,0,279668,105,1263329,10187191,North America,18-04-2022
Oman,388891,26,4257,0,383975,30,659,7,25000000,5339511,Asia,18-04-2022
Bosnia and Herzegovina,376437,0,15749,0,192218,0,168470,0,1748585,3244209,Europe,18-04-2022
Qatar,363654,111,677,0,361951,106,1026,1,3422431,2807805,Asia,18-04-2022
Réunion,360445,0,731,0,342442,0,17272,10,1603660,906776,Africa,18-04-2022
Kenya,323618,4,5649,0,317811,0,158,0,3568521,55895462,Africa,18-04-2022
Zambia,318515,0,3973,0,313692,0,850,0,3399995,19307077,Africa,18-04-2022
North Macedonia,308619,14,9262,1,298532,226,825,0,1997169,2083221,Europe,18-04-2022
Botswana,305859,0,2688,0,303026,0,145,1,2026898,2436788,Africa,18-04-2022
Albania,274520,16,3496,0,270658,32,366,2,1793981,2872159,Europe,18-04-2022
Algeria,265741,2,6874,0,178336,1,80531,6,230861,45271360,Africa,18-04-2022
Nigeria,255648,0,3143,0,249847,0,2658,11,4977858,215301380,Africa,18-04-2022
Zimbabwe,247297,19,5464,1,241112,100,721,12,2229802,15251064,Africa,18-04-2022
Uzbekistan,238313,25,1637,0,236309,34,367,23,1377915,34339369,Asia,18-04-2022
Montenegro,234251,33,2709,0,230916,25,626,6,2439629,628209,Europe,18-04-2022
Luxembourg,229311,0,1054,0,214556,0,13701,4,4200517,644246,Europe,18-04-2022
Mozambique,225332,3,2201,1,223079,8,52,13,1306594,32825481,Africa,18-04-2022
Kyrgyzstan,200980,0,2991,0,196331,7,1658,131,1907195,6717279,Asia,18-04-2022
Laos,200502,312,722,4,7660,0,192120,0,1232128,7464955,Asia,18-04-2022
Iceland,183974,0,110,0,75685,0,108179,1,1953616,345217,Europe,18-04-2022
Maldives,178883,570,298,0,163687,0,14898,25,2213831,557621,Asia,18-04-2022
Afghanistan,178462,39,7679,1,161544,27,9239,1124,936091,40500605,Asia,18-04-2022
